player_id,player_name,team,position,goals_pg,assists_pg,sot_pg,shots_pg,cards_pg,minutes_pg,rating_pg,saves_pg,games_used,player_career_avg_quality
264437,B. Thomas,Coventry,D,,,,,,,,,,
37961,M. van Ewijk,Coventry,D,,,,,,,,,,
161621,L. Tchaouna,Coventry,F,0.2,0.2,0.4,0.4,0.2,81.8,6.62,0.0,5.0,1.0
335185,J. Markelo,Coventry,F,,,,,,,,,,
18404,E. Mason-Clark,Coventry,F,,,,,,,,,,
82090,B. Thomas-Asante,Coventry,F,,,,,,,,,,
427,H. Wright,Coventry,F,,,,,,,,,,
20484,B. Wilson,Coventry,G,,,,,,,,,,
138786,E. Simms,Coventry,M,0.2,0.0,0.2,0.6,0.0,24.8,6.74,0.0,5.0,1.0
15799,F. Onyeka,Coventry,M,0.0,0.0,0.0,0.0,0.2,35.6,6.5,0.0,5.0,1.0
19984,J. Eccles,Coventry,M,,,,,,,,,,
19328,M. Grimes,Coventry,M,,,,,,,,,,
145538,J. Latibeaudiere,Coventry,M,,,,,,,,,,
20372,J. Rudoni,Coventry,M,,,,,,,,,,
33462,T. Sakamoto,Coventry,M,,,,,,,,,,
16046,V. Torp,Coventry,M,,,,,,,,,,
412759,J. Canvot,Crystal Palace,D,0.0,0.0,0.2,0.4,0.2,90.0,6.4,0.0,5.0,1.0
18862,N. Clyne,Crystal Palace,D,0.0,0.0,0.0,0.2,0.2,52.8,6.34,0.0,5.0,1.0
20995,M. Lacroix,Crystal Palace,D,0.0,0.0,0.6,0.6,0.2,84.2,6.72,0.0,5.0,1.0
182201,T. Mitchell,Crystal Palace,D,0.0,0.0,0.4,0.6,0.2,72.0,6.92,0.0,5.0,1.0
13736,D. Muñoz,Crystal Palace,D,0.0,0.2,0.4,0.6,0.0,70.4,6.8,0.0,5.0,1.0
278898,C. Riad,Crystal Palace,D,0.0,0.0,0.2,0.4,0.0,84.0,6.6,0.0,5.0,1.0
126949,C. Richards,Crystal Palace,D,0.0,0.0,0.2,0.8,0.2,62.6,6.26,0.0,5.0,1.0
26303,B. Sosa,Crystal Palace,D,0.0,0.0,0.0,1.0,1.0,45.0,6.2,0.0,1.0,1.0
380703,Rio Cardines,Crystal Palace,D,,,,,,,,,,
196856,Daniel Edward Peter Imray,Crystal Palace,D,,,,,,,,,,
162712,Óscar Mingueza,Crystal Palace,D,,,,,,,,,,
25927,J. Mateta,Crystal Palace,F,0.4,0.0,0.4,0.8,0.0,30.4,6.8,0.0,5.0,1.0
2218,I. Sarr,Crystal Palace,F,0.4,0.0,1.0,1.6,0.0,59.8,6.64,0.0,5.0,1.0
129711,B. Johnson,Crystal Palace,F,0.0,0.0,0.0,0.4,0.0,69.8,6.62,0.0,5.0,1.0
2032,J. Strand Larsen,Crystal Palace,F,0.0,0.0,0.4,1.4,0.0,59.6,6.24,0.0,5.0,1.0
184226,Yeremy Pino,Crystal Palace,F,0.0,0.2,0.0,0.4,0.0,45.2,6.68,0.0,5.0,1.0
557416,Z. Marsh,Crystal Palace,F,,,,,,,,,,
19088,D. Henderson,Crystal Palace,G,0.0,0.0,0.0,0.0,0.2,90.0,6.52,3.0,5.0,1.0
22157,W. Benítez,Crystal Palace,G,,,,,,,,,,
19684,R. Matthews,Crystal Palace,G,,,,,,,,,,
288102,A. Wharton,Crystal Palace,M,0.2,0.0,0.4,1.0,0.0,54.4,7.18,0.0,5.0,1.0
286458,J. Devenny,Crystal Palace,M,0.0,0.2,0.4,0.4,0.0,53.0,6.72,0.0,5.0,1.0
18806,W. Hughes,Crystal Palace,M,0.0,0.0,0.0,0.0,0.2,66.6,6.78,0.0,5.0,1.0
2601,D. Kamada,Crystal Palace,M,0.0,0.0,0.0,0.2,0.2,57.0,6.8,0.0,5.0,1.0
2490,J. Lerma,Crystal Palace,M,0.0,0.0,0.0,0.0,0.2,59.2,6.58,0.0,5.0,1.0
270139,J. O&apos;Brien,Everton,D,0.2,0.0,0.4,0.6,0.8,79.0,6.28,0.0,5.0,1.0
2936,J. Tarkowski,Everton,D,0.2,0.4,0.4,0.6,0.6,90.0,7.16,0.0,5.0,1.0
17661,J. Branthwaite,Everton,D,0.0,0.0,0.2,0.6,0.0,69.2,7.06,0.0,5.0,1.0
2165,V. Mykolenko,Everton,D,0.0,0.0,0.0,0.0,0.2,90.0,6.36,0.0,5.0,1.0
138417,N. Patterson,Everton,D,0.0,0.2,0.0,0.2,0.2,58.8,6.62,0.0,5.0,1.0
431921,Adam Aznou Ben Cheikh,Everton,D,,,,,,,,,,
284385,Elijah Xavier Campbell,Everton,D,,,,,,,,,,
284327,R. Welch,Everton,D,,,,,,,,,,
343684,T. Barry,Everton,F,0.4,0.0,0.8,1.2,0.0,47.4,6.9,0.0,5.0,1.0
125743,Beto,Everton,F,0.4,0.0,0.6,1.4,0.2,59.6,6.7,0.0,5.0,1.0
304317,T. Dibling,Everton,F,0.0,0.0,0.0,0.2,0.0,41.4,6.4,0.0,5.0,1.0
334037,Tyrique George,Everton,F,0.0,0.0,0.2,0.4,0.0,18.0,6.8,0.0,5.0,1.0
18592,I. Ndiaye,Everton,F,0.0,0.0,0.8,1.0,0.0,90.0,6.46,0.0,5.0,1.0
2932,J. Pickford,Everton,G,0.0,0.0,0.0,0.0,0.0,90.0,6.9,1.8,5.0,1.0
18860,M. Travers,Everton,G,0.0,0.0,0.0,0.0,0.0,90.0,7.64,4.0,5.0,1.0
82855,T. King,Everton,G,,,,,,,,,,
195993,C. Alcaraz,Everton,M,0.2,0.2,1.0,1.4,0.2,43.4,6.92,0.0,5.0,1.0
148099,K. Dewsbury-Hall,Everton,M,0.2,0.0,0.4,1.0,0.0,88.4,6.86,0.0,5.0,1.0
202854,M. Röhl,Everton,M,0.2,0.0,0.2,0.4,0.0,66.4,6.64,0.0,5.0,1.0
405360,H. Armstrong,Everton,M,0.0,0.0,0.0,0.0,0.0,20.5,6.6,0.0,2.0,0.78
895,J. Garner,Everton,M,0.0,0.2,0.4,0.6,0.6,90.0,7.14,0.0,5.0,1.0
284500,T. Iroegbunam,Everton,M,0.0,0.0,0.0,0.4,0.2,72.2,6.56,0.0,5.0,1.0
18929,D. McNeil,Everton,M,0.0,0.0,0.0,0.6,0.0,76.6,6.74,0.0,5.0,1.0
179685,H. Hackney,Everton,M,,,,,,,,,,
18814,I. Diop,Fulham,D,0.2,0.0,0.2,0.2,0.0,77.6,6.8,0.0,5.0,1.0
19549,A. Robinson,Fulham,D,0.2,0.0,0.2,0.2,0.4,85.8,6.96,0.0,5.0,1.0
2729,J. Andersen,Fulham,D,0.0,0.0,0.2,0.6,0.0,82.4,6.94,0.0,5.0,1.0
